Year,Week_Number,mean_return,volatility
2016,25,-0.09539999999999989,2.4716598269179357
2016,26,0.5454,2.0773813564196635
2016,27,0.55525,0.8451766580622853
2016,28,0.5308,0.4465967980180781
2016,29,1.0734,2.609234332136537
2016,30,0.04079999999999999,0.6676044487568967
2016,31,0.4486,0.5071255268668695
2016,32,-0.005800000000000005,0.44645850871049597
2016,33,0.01419999999999999,0.3363163689147467
2016,34,0.1422,0.25735325915946744
2016,35,-0.1236,0.41563902607912073
2016,36,-0.635,1.0125976496121252
2016,37,0.3726,1.1553918382955628
2016,38,0.0662,0.9483030633716206
2016,39,0.06439999999999999,1.1784270448356147
2016,40,0.06999999999999998,0.41856421251702824
2016,41,-0.12899999999999998,0.885524985531182
2016,42,0.7838,1.9781713019857505
2016,43,0.07660000000000003,1.2524076013822338
